time,U_A1,U_B1,temperature
0,0.179,0.011,94.15
5,0.1815,0.0115,91.65
10,0.1805,0.01,92.65
15,0.1815,0.0115,91.65
20,0.182,0.012,91.15
25,0.1815,0.009,91.65
30,0.1815,0.01,91.65
35,0.182,0.0105,91.15
40,0.1825,0.011,90.65
45,0.1805,0.011,92.65
50,0.1805,0.0095,92.65
55,0.177,0.0105,96.15
60,0.179,0.0105,94.15
65,0.177,0.012,96.15
70,0.1765,0.018,96.65
75,0.176,0.0435,97.15
80,0.174,0.09,99.15
85,0.1745,0.102,98.65
90,0.172,0.1025,101.15
95,0.17,0.106,103.15
100,0.17,0.1105,103.15
105,0.1675,0.1115,105.65
110,0.1655,0.1125,107.65
115,0.165,0.1145,108.15
120,0.163,0.114,110.15
125,0.161,0.1155,112.15
130,0.16,0.116,113.15
135,0.1575,0.118,115.65
140,0.158,0.1195,115.15
145,0.157,0.1185,116.15
150,0.155,0.1215,118.15
155,0.153,0.1215,120.15
160,0.1515,0.123,121.65
165,0.1505,0.121,122.65
170,0.1485,0.124,124.65
175,0.1475,0.125,125.65
180,0.1455,0.126,127.65
185,0.1455,0.127,127.65
190,0.1445,0.125,128.65
195,0.1425,0.127,130.65
200,0.141,0.127,132.15
205,0.139,0.126,134.15
210,0.138,0.1285,135.15
215,0.137,0.1295,136.15
220,0.134,0.129,139.15
225,0.1355,0.1305,137.65
230,0.133,0.1315,140.15
235,0.132,0.132,141.15
240,0.131,0.133,142.15
245,0.129,0.133,144.15
250,0.128,0.1355,145.15
255,0.127,0.134,146.15
260,0.127,0.135,146.15
265,0.124,0.135,149.15
270,0.1245,0.1365,148.65
275,0.123,0.1365,150.15
280,0.1225,0.138,150.65
285,0.12,0.136,153.15
290,0.12,0.1355,153.15
295,0.1195,0.1365,153.65
300,0.117,0.1365,156.15
305,0.117,0.1395,156.15
310,0.116,0.138,157.15
315,0.1145,0.139,158.65
320,0.114,0.139,159.15
325,0.1145,0.137,158.65
330,0.1115,0.1405,161.65
335,0.112,0.1415,161.15
340,0.1105,0.139,162.65
345,0.11,0.141,163.15
350,0.108,0.1415,165.15
355,0.109,0.14,164.15
360,0.1075,0.1415,165.65
365,0.107,0.1425,166.15
370,0.106,0.141,167.15
375,0.104,0.1435,169.15
380,0.104,0.1435,169.15
385,0.1015,0.1435,171.65
390,0.102,0.1445,171.15
395,0.1015,0.1435,171.65
400,0.101,0.1445,172.15
405,0.1005,0.1455,172.65
410,0.099,0.143,174.15
415,0.0975,0.1455,175.65
420,0.097,0.1435,176.15
425,0.0965,0.146,176.65
430,0.096,0.1455,177.15
435,0.096,0.148,177.15
440,0.0935,0.146,179.65
445,0.094,0.1475,179.15
450,0.0925,0.1455,180.65
455,0.0935,0.148,179.65
460,0.09,0.1485,183.15
465,0.0905,0.1495,182.65
470,0.0895,0.15,183.65
475,0.09,0.1485,183.15
480,0.087,0.1485,186.15
485,0.089,0.15,184.15
490,0.0875,0.15,185.65
495,0.0865,0.149,186.65
500,0.0875,0.15,185.65
505,0.085,0.1505,188.15
510,0.086,0.1495,187.15
515,0.084,0.1505,189.15
520,0.0845,0.151,188.65
525,0.0835,0.1515,189.65
530,0.0825,0.1495,190.65
535,0.082,0.151,191.15
540,0.082,0.152,191.15
545,0.0815,0.151,191.65
550,0.079,0.1515,194.15
555,0.08,0.1525,193.15
560,0.0795,0.153,193.65
565,0.0785,0.153,194.65
570,0.078,0.1515,195.15
575,0.0785,0.1505,194.65
580,0.0755,0.1525,197.65
585,0.077,0.154,196.15
590,0.075,0.1545,198.15
595,0.0765,0.153,196.65
600,0.075,0.1535,198.15
605,0.0755,0.153,197.65
610,0.0745,0.1535,198.65
615,0.0735,0.155,199.65
620,0.073,0.1555,200.15
625,0.072,0.1535,201.15
630,0.0705,0.1555,202.65
635,0.072,0.155,201.15
640,0.071,0.1565,202.15
645,0.071,0.1565,202.15
650,0.0695,0.1555,203.65
655,0.0695,0.1555,203.65
660,0.0695,0.1575,203.65
665,0.0695,0.1565,203.65
670,0.069,0.157,204.15
675,0.0665,0.156,206.65
680,0.0665,0.157,206.65
685,0.067,0.1565,206.15
690,0.0665,0.158,206.65
695,0.067,0.159,206.15
700,0.0655,0.1565,207.65
705,0.064,0.1585,209.15
710,0.0655,0.1585,207.65
715,0.0655,0.1595,207.65
720,0.0645,0.16,208.65
725,0.064,0.159,209.15
730,0.064,0.1595,209.15
735,0.064,0.16,209.15
740,0.063,0.1595,210.15
745,0.062,0.158,211.15
750,0.062,0.1585,211.15
755,0.061,0.1585,212.15
760,0.061,0.161,212.15
765,0.0585,0.161,214.65
770,0.06,0.16,213.15
775,0.06,0.161,213.15
780,0.06,0.16,213.15
785,0.06,0.1585,213.15
790,0.0565,0.16,216.65
795,0.0595,0.1605,213.65
800,0.0585,0.1615,214.65
805,0.059,0.1595,214.15
810,0.0575,0.1615,215.65
815,0.057,0.161,216.15
820,0.0565,0.162,216.65
825,0.0575,0.162,215.65
830,0.057,0.1625,216.15
835,0.0555,0.1625,217.65
840,0.056,0.1615,217.15
845,0.0545,0.162,218.65
850,0.0545,0.162,218.65
855,0.056,0.163,217.15
860,0.054,0.164,219.15
865,0.055,0.1625,218.15
870,0.053,0.162,220.15
875,0.0525,0.1625,220.65
880,0.0525,0.1625,220.65
885,0.0525,0.164,220.65
890,0.053,0.1635,220.15
895,0.0525,0.162,220.65
900,0.051,0.162,222.15
905,0.052,0.1635,221.15
910,0.052,0.165,221.15
915,0.051,0.165,222.15
920,0.05,0.1625,223.15
925,0.05,0.164,223.15
930,0.0505,0.163,222.65
935,0.0485,0.1645,224.65
940,0.0505,0.164,222.65
945,0.05,0.1645,223.15
950,0.0485,0.1635,224.65
955,0.0485,0.1645,224.65
960,0.0485,0.1665,224.65
965,0.0475,0.164,225.65
970,0.047,0.164,226.15
975,0.047,0.1645,226.15
980,0.047,0.165,226.15
985,0.0455,0.1655,227.65
990,0.0475,0.167,225.65
995,0.046,0.164,227.15
1000,0.0465,0.167,226.65
1005,0.0465,0.167,226.65
1010,0.0445,0.1655,228.65
1015,0.046,0.1655,227.15
1020,0.045,0.1655,228.15
1025,0.0445,0.1645,228.65
1030,0.0435,0.165,229.65
1035,0.044,0.166,229.15
1040,0.045,0.1665,228.15
1045,0.044,0.1665,229.15
1050,0.043,0.1655,230.15
1055,0.0435,0.1675,229.65
1060,0.044,0.166,229.15
1065,0.0415,0.165,231.65
1070,0.042,0.166,231.15
1075,0.041,0.167,232.15
1080,0.0425,0.167,230.65
1085,0.042,0.1675,231.15
1090,0.0425,0.1675,230.65
1095,0.042,0.166,231.15
1100,0.041,0.167,232.15
1105,0.0415,0.168,231.65
1110,0.042,0.168,231.15
1115,0.0405,0.1675,232.65
1120,0.041,0.167,232.15
1125,0.0395,0.167,233.65
1130,0.04,0.167,233.15
1135,0.04,0.168,233.15
1140,0.04,0.1675,233.15
1145,0.0405,0.168,232.65
1150,0.04,0.1675,233.15
1155,0.0395,0.1685,233.65
1160,0.04,0.1685,233.15
1165,0.0405,0.169,232.65
1170,0.039,0.169,234.15
1175,0.0385,0.1665,234.65
1180,0.038,0.167,235.15
1185,0.0375,0.168,235.65
1190,0.038,0.169,235.15
1195,0.0385,0.1695,234.65
1200,0.039,0.1695,234.15
1205,0.0385,0.169,234.65
1210,0.0375,0.168,235.65
1215,0.037,0.1695,236.15
1220,0.0375,0.1695,235.65
1225,0.037,0.1695,236.15
1230,0.038,0.171,235.15
1235,0.037,0.169,236.15
1240,0.037,0.1695,236.15
1245,0.0365,0.169,236.65
1250,0.0355,0.169,237.65
1255,0.036,0.1685,237.15
1260,0.036,0.1675,237.15
1265,0.0365,0.1695,236.65
1270,0.0355,0.1695,237.65
1275,0.0355,0.17,237.65
1280,0.0355,0.17,237.65
1285,0.0355,0.1695,237.65
